Date,Close
7/10/2020,5031.26
7/13/2020,5064.45
7/14/2020,5079.12
7/15/2020,5075.8
7/16/2020,5098.37
7/17/2020,5079.58
7/20/2020,5051.11
7/21/2020,5114.71
7/22/2020,5110.19
7/23/2020,5145.01
7/24/2020,5082.99
7/27/2020,5116.67
7/28/2020,5112.99
7/29/2020,5149.63
7/30/2020,5149.63
8/3/2020,5006.22
8/4/2020,5075
8/5/2020,5127.05
8/6/2020,5178.27
8/7/2020,5143.89
8/10/2020,5157.83
8/11/2020,5190.17
8/12/2020,5233.45
8/13/2020,5239.25
8/14/2020,5247.69
8/18/2020,5295.17
8/19/2020,5272.81
8/24/2020,5277.04
8/25/2020,5338.89
8/26/2020,5340.33
8/27/2020,5371.47
8/28/2020,5346.66
8/31/2020,5238.49
9/1/2020,5310.68
9/2/2020,5311.97
9/3/2020,5280.81
9/4/2020,5239.85
9/7/2020,5230.2
9/8/2020,5244.07
9/9/2020,5149.38
9/10/2020,4891.46
9/11/2020,5016.71
9/14/2020,5161.83
9/15/2020,5100.87
9/16/2020,5058.48
9/17/2020,5038.4
9/18/2020,5059.22
9/21/2020,4999.36
9/22/2020,4934.09
9/23/2020,4917.96
9/24/2020,4842.76
9/25/2020,4945.79
9/28/2020,4906.55
9/29/2020,4879.1
9/30/2020,4870.04
10/1/2020,4970.09
10/2/2020,4926.73
10/5/2020,4958.77
10/6/2020,4999.22
10/7/2020,5004.33
10/8/2020,5039.14
10/9/2020,5053.66
10/12/2020,5093.1
10/13/2020,5132.57
10/14/2020,5176.1
10/15/2020,5105.15
10/16/2020,5103.41
10/19/2020,5126.33
10/20/2020,5099.84
10/21/2020,5096.45
10/22/2020,5091.82
10/23/2020,5112.19
10/26/2020,5144.05
10/27/2020,5128.23
11/2/2020,5115.13
11/3/2020,5159.45
11/4/2020,5105.2
11/5/2020,5260.33
11/6/2020,5335.53
11/9/2020,5356
11/10/2020,5462.74
11/11/2020,5509.51
11/12/2020,5458.6
11/13/2020,5461.06
11/16/2020,5494.87
11/17/2020,5529.94
11/18/2020,5557.52
11/19/2020,5594.06
11/20/2020,5571.66
11/23/2020,5652.76
11/24/2020,5701.03
11/25/2020,5679.25
11/26/2020,5759.92
11/27/2020,5783.33
11/30/2020,5612.42
12/1/2020,5724.74
12/2/2020,5813.99
12/3/2020,5822.94
12/4/2020,5810.48
12/7/2020,5930.76
12/8/2020,5944.41
12/10/2020,5933.7
12/11/2020,5938.33
12/14/2020,6012.52
12/15/2020,6010.13
12/16/2020,6118.4
12/17/2020,6113.38
12/18/2020,6104.32
12/21/2020,6165.62
12/22/2020,6023.29
12/23/2020,6008.71
12/28/2020,6093.55
12/29/2020,6036.17
12/30/2020,5979.07
1/4/2021,6104.9
1/5/2021,6137.34
1/6/2021,6065.68
1/7/2021,6153.63
1/8/2021,6257.83
1/11/2021,6382.94
1/12/2021,6395.67
1/13/2021,6435.21
1/14/2021,6428.31
1/15/2021,6373.41
1/18/2021,6389.83
1/19/2021,6321.86
1/20/2021,6429.76
1/21/2021,6413.89
1/22/2021,6307.13
1/25/2021,6258.57
1/26/2021,6140.17
1/27/2021,6109.17
1/28/2021,5979.39
1/29/2021,5862.35
2/1/2021,6067.54
2/2/2021,6043.84
2/3/2021,6077.75
2/4/2021,6107.22
2/5/2021,6151.73
2/8/2021,6208.87
2/9/2021,6181.67
2/10/2021,6201.83
2/11/2021,6222.52
2/15/2021,6270.32
2/16/2021,6292.4
2/17/2021,6227.73
2/18/2021,6200.31
2/19/2021,6231.93
2/22/2021,6255.31
2/23/2021,6272.81
2/24/2021,6251.05
2/25/2021,6289.65
2/26/2021,6241.8
3/1/2021,6338.51
3/2/2021,6359.21
3/3/2021,6376.76
3/4/2021,6290.8
3/5/2021,6258.75
3/8/2021,6248.46
3/9/2021,6199.65
3/10/2021,6264.68
3/12/2021,6358.21
3/15/2021,6324.26
3/16/2021,6309.7
3/17/2021,6277.23
3/18/2021,6347.83
3/19/2021,6356.16
3/22/2021,6301.13
3/23/2021,6252.71
3/24/2021,6156.14
3/25/2021,6122.88
3/26/2021,6195.56
3/29/2021,6166.82
3/30/2021,6071.44
3/31/2021,5985.52
4/1/2021,6011.46
4/5/2021,5970.29
4/6/2021,6002.77
4/7/2021,6036.62
4/8/2021,6071.72
4/9/2021,6070.21
4/12/2021,5948.57
4/13/2021,5927.44
4/14/2021,6050.28
4/15/2021,6079.5
4/16/2021,6086.26
4/19/2021,6052.54
4/20/2021,6038.32
4/21/2021,5993.24
4/22/2021,5994.18
4/23/2021,6016.86
4/26/2021,5964.82
4/27/2021,5959.62
4/28/2021,5974.48
4/29/2021,6012.96
4/30/2021,5995.62
5/3/2021,5952.6
5/4/2021,5963.82
5/5/2021,5975.91
5/6/2021,5970.24
5/7/2021,5928.31
5/10/2021,5975.79
5/11/2021,5938.35
5/17/2021,5833.86
5/18/2021,5834.39
5/19/2021,5760.58
5/20/2021,5797.6
5/21/2021,5773.12
5/24/2021,5763.63
5/25/2021,5815.84
5/27/2021,5841.83
5/28/2021,5848.62
5/31/2021,5947.46
6/2/2021,6031.58
6/3/2021,6091.51
6/4/2021,6065.17
6/7/2021,6069.94
6/8/2021,5999.37
6/9/2021,6047.48
6/10/2021,6107.54
6/11/2021,6095.5
6/14/2021,6080.38
6/15/2021,6089.04
6/16/2021,6078.57
6/17/2021,6068.45
6/18/2021,6007.12
6/21/2021,5996.25
6/22/2021,6087.84
6/23/2021,6034.54
6/24/2021,6012.06
6/25/2021,6022.4
6/28/2021,5939.47
6/29/2021,5949.05
6/30/2021,5985.49
7/1/2021,6005.96
7/2/2021,6023.01
7/5/2021,6005.61
7/6/2021,6047.11
7/7/2021,6044.04
7/8/2021,6039.9
7/9/2021,6039.84
7/12/2021,6078.57
7/13/2021,6012.03
7/14/2021,5979.21
7/15/2021,6046.75
7/16/2021,6072.51
7/19/2021,6017.39
7/21/2021,6029.98
7/22/2021,6137.55
7/23/2021,6101.69
7/26/2021,6106.39
7/27/2021,6097.05
7/28/2021,6088.52
7/29/2021,6120.73
7/30/2021,6070.04
8/2/2021,6096.54
8/3/2021,6130.57
8/4/2021,6159.04
8/5/2021,6205.42
8/6/2021,6203.43
8/9/2021,6127.46
8/10/2021,6088.41
8/12/2021,6139.65
8/13/2021,6139.49
8/16/2021,6087.91
8/18/2021,6118.15
8/19/2021,5992.32
8/20/2021,6030.77
8/23/2021,6109.83
8/24/2021,6089.5
8/25/2021,6113.24
8/26/2021,6058.08
8/27/2021,6041.37
8/30/2021,6144.9
8/31/2021,6150.3
9/1/2021,6090.93
9/2/2021,6078.23
9/3/2021,6126.92
9/6/2021,6126.94
9/7/2021,6112.4
9/8/2021,6026.02
9/9/2021,6068.22
9/10/2021,6094.87
9/13/2021,6088.16
9/14/2021,6129.1
9/15/2021,6110.23
9/16/2021,6109.94
9/17/2021,6133.25
9/20/2021,6076.31
9/21/2021,6060.76
9/22/2021,6108.27
9/23/2021,6142.71
9/24/2021,6144.81
9/27/2021,6122.5
9/28/2021,6113.11
9/29/2021,6162.55
9/30/2021,6286.94
10/1/2021,6228.85
10/4/2021,6342.69
10/5/2021,6288.05
10/6/2021,6417.32
10/7/2021,6416.4
10/8/2021,6481.77
10/11/2021,6459.7
10/12/2021,6486.27
10/13/2021,6536.9
10/14/2021,6626.11
10/15/2021,6633.34
10/18/2021,6658.77
10/19/2021,6656
10/21/2021,6632.97
10/22/2021,6643.74
10/25/2021,6625.7
10/26/2021,6656.94
10/27/2021,6602.21
10/28/2021,6524.08
10/29/2021,6591.35
11/1/2021,6552.89
11/2/2021,6493.27
11/3/2021,6552.13
11/4/2021,6586.44
11/5/2021,6581.79
11/8/2021,6632.3
11/9/2021,6669.92
11/10/2021,6683.15
11/11/2021,6691.34
11/12/2021,6651.05
11/15/2021,6616.03
11/16/2021,6651.21
11/17/2021,6675.8
11/18/2021,6636.47
11/19/2021,6720.26
11/22/2021,6723.39
11/23/2021,6677.88
11/24/2021,6683.28
11/25/2021,6699.35
11/26/2021,6561.55
11/29/2021,6608.29
11/30/2021,6533.93
12/1/2021,6507.68
12/2/2021,6583.82
12/3/2021,6538.51
12/6/2021,6547.12
12/7/2021,6602.57
12/8/2021,6603.8
12/9/2021,6643.93
12/10/2021,6652.92
12/13/2021,6662.87
12/14/2021,6615.64
12/15/2021,6626.26
12/16/2021,6594.8
12/17/2021,6601.93
12/20/2021,6547.11
12/21/2021,6554.31
12/22/2021,6529.59
12/23/2021,6555.55
12/24/2021,6562.9
12/27/2021,6575.44
12/28/2021,6598.34
12/29/2021,6600.68
12/30/2021,6581.48
1/3/2022,6665.31
1/4/2022,6695.37
1/5/2022,6662.3
1/6/2022,6653.35
1/7/2022,6701.32
1/10/2022,6691.12
1/11/2022,6647.97
1/12/2022,6647.06
1/13/2022,6658.36
1/14/2022,6693.4
1/17/2022,6645.05
1/18/2022,6614.06
1/19/2022,6591.98
1/20/2022,6626.87
1/21/2022,6726.37
1/24/2022,6655.17
1/25/2022,6568.17
1/26/2022,6600.82
1/27/2022,6611.16
1/28/2022,6645.51
1/31/2022,6631.15
2/2/2022,6707.65
2/3/2022,6683.85
2/4/2022,6731.39
2/7/2022,6804.94
2/8/2022,6789.52
2/9/2022,6834.61
2/10/2022,6823.64
2/11/2022,6815.61
2/14/2022,6734.49
2/15/2022,6807.5
2/16/2022,6850.2
2/17/2022,6835.12
2/18/2022,6892.82
2/21/2022,6902.96
2/22/2022,6861.99
2/23/2022,6920.06
2/24/2022,6817.82
2/25/2022,6888.17
3/1/2022,6921.44
3/2/2022,6868.4
3/4/2022,6928.33
3/7/2022,6869.07
3/8/2022,6814.18
3/9/2022,6864.44
3/10/2022,6924.01
3/11/2022,6922.6
3/14/2022,6952.2
3/15/2022,6918.19
3/16/2022,6992.4
3/17/2022,6964.38
3/18/2022,6954.96
3/21/2022,6955.18
3/22/2022,7000.82
3/23/2022,6996.12
3/24/2022,7049.69
3/25/2022,7002.53
3/28/2022,7049.6
3/29/2022,7011.69
3/30/2022,7053.19
3/31/2022,7071.44
4/1/2022,7078.76
4/4/2022,7116.22
4/5/2022,7148.3
4/6/2022,7104.22
4/7/2022,7127.37
4/8/2022,7210.83
4/11/2022,7203.79
4/12/2022,7214.78
4/13/2022,7262.78
4/14/2022,7235.53
4/18/2022,7275.29
4/19/2022,7199.23
4/20/2022,7227.36
4/21/2022,7276.19
4/22/2022,7225.61
4/25/2022,7215.98
4/26/2022,7232.15
4/27/2022,7196.76
4/28/2022,7228.91
5/9/2022,6909.75
5/10/2022,6819.79
5/11/2022,6816.2
5/12/2022,6599.84
5/13/2022,6597.99
5/17/2022,6644.47
5/18/2022,6793.41
5/19/2022,6823.33
5/20/2022,6918.14
5/23/2022,6840.77
5/24/2022,6914.14
5/25/2022,6883.5
5/27/2022,7026.26
5/30/2022,7037.56
5/31/2022,7148.97
6/2/2022,7148.72
6/3/2022,7182.96
6/6/2022,7096.58
6/7/2022,7141.04
6/8/2022,7193.31
6/9/2022,7182.83
6/10/2022,7086.65
6/13/2022,6995.44
6/14/2022,7049.88
6/15/2022,7007.05
6/16/2022,7050.33
6/17/2022,6936.97
6/20/2022,6976.38
6/21/2022,7044.07
6/22/2022,6984.31
6/23/2022,6998.27
6/24/2022,7042.94
6/27/2022,7016.06
6/28/2022,6996.46
6/29/2022,6942.35
6/30/2022,6911.58
7/1/2022,6794.33
7/4/2022,6639.17
7/5/2022,6703.27
7/6/2022,6646.41
7/7/2022,6652.59
7/8/2022,6740.22
7/11/2022,6722.15
7/12/2022,6718.29
7/13/2022,6640.99
7/14/2022,6690.09
7/15/2022,6651.9
7/18/2022,6659.25
7/19/2022,6736.09
7/20/2022,6874.74
7/21/2022,6864.13
7/22/2022,6886.96
7/25/2022,6858.41
7/26/2022,6871.54
7/27/2022,6898.22
7/28/2022,6956.82
7/29/2022,6951.12
8/1/2022,6968.78
8/2/2022,6988.16
8/3/2022,7046.63
8/4/2022,7057.35
8/5/2022,7084.65
8/8/2022,7086.85
8/9/2022,7102.88
8/10/2022,7086.24
8/11/2022,7160.38
8/12/2022,7129.28
8/15/2022,7093.28
8/16/2022,7133.45
8/18/2022,7186.56
8/19/2022,7172.43
8/22/2022,7107.98
8/23/2022,7163.27
8/24/2022,7194.71
8/25/2022,7174.21
8/26/2022,7135.25
8/29/2022,7132.04
8/30/2022,7159.47
8/31/2022,7178.59
9/1/2022,7153.1
9/2/2022,7177.18
9/5/2022,7231.88
9/6/2022,7233.15
9/7/2022,7186.76
9/8/2022,7232.02
9/9/2022,7242.66
9/12/2022,7254.46
9/13/2022,7318.02
9/14/2022,7278.08
9/15/2022,7305.6
9/16/2022,7168.87
9/19/2022,7195.49
9/20/2022,7196.95
9/21/2022,7188.31
9/22/2022,7218.91
9/23/2022,7178.58
9/26/2022,7127.5
9/27/2022,7112.45
9/28/2022,7077.03
9/29/2022,7036.2
9/30/2022,7040.8
10/3/2022,7009.72
10/4/2022,7072.26
10/5/2022,7075.38
10/6/2022,7076.62
10/7/2022,7026.78
10/10/2022,6994.4
10/11/2022,6939.15
10/12/2022,6909.21
10/13/2022,6880.63
10/14/2022,6814.53
10/17/2022,6831.12
10/18/2022,6834.49
10/19/2022,6860.42
10/20/2022,6980.65
10/21/2022,7017.77
10/24/2022,7053.04
10/25/2022,7048.38
10/26/2022,7043.94
10/27/2022,7091.76
10/28/2022,7056.04
10/31/2022,7098.89
11/1/2022,7052.3
11/2/2022,7015.69
11/3/2022,7034.57
11/4/2022,7045.53
11/7/2022,7102.4
11/8/2022,7050.13
11/9/2022,7070.08
11/10/2022,6966.84
11/11/2022,7089.21
11/14/2022,7019.39
11/15/2022,7035.5
11/16/2022,7014.38
11/17/2022,7044.99
11/18/2022,7082.18
11/21/2022,7063.25
11/22/2022,7030.59
11/23/2022,7054.12
11/24/2022,7080.52
11/25/2022,7053.15
11/28/2022,7017.36
11/29/2022,7012.07
11/30/2022,7081.31
12/1/2022,7020.8
12/2/2022,7019.64
12/5/2022,6987.33
12/6/2022,6892.57
12/7/2022,6818.75
12/8/2022,6804.23
12/9/2022,6715.12
12/12/2022,6734.45
12/13/2022,6810.32
12/14/2022,6801.75
12/15/2022,6751.86
12/16/2022,6812.19
12/19/2022,6779.7
12/20/2022,6768.32
12/21/2022,6820.66
12/22/2022,6824.43
12/23/2022,6800.67
12/26/2022,6835.81
12/27/2022,6923.03
12/28/2022,6850.52
12/29/2022,6860.08
12/30/2022,6850.62
1/2/2023,6850.98
1/3/2023,6888.76
1/4/2023,6813.24
1/5/2023,6653.84
1/6/2023,6684.56
1/9/2023,6688.27
1/10/2023,6622.5
1/11/2023,6584.45
1/12/2023,6629.93
1/13/2023,6641.83
1/16/2023,6688.06
1/17/2023,6767.34
1/18/2023,6765.79
1/19/2023,6819.91
1/20/2023,6874.93
1/24/2023,6860.85
1/25/2023,6829.93
1/26/2023,6864.82
1/27/2023,6898.98
1/30/2023,6872.48
1/31/2023,6839.34
2/1/2023,6862.26
2/2/2023,6890.57
2/3/2023,6911.73
